id;provinsi;nama_provinsi;provinsi_singkat;geom;latitude;latitude2;line_geom;longitude;longitude2
19;19;KEPULAUAN BANGKA BELITUNG;KEP BABEL;;-2.6138000;9.2760000;;106.1719000;101.2060000
18;18;LAMPUNG;LAMPUNG;;-4.8555000;-9.2760000;;105.0273000;91.7580000
17;17;BENGKULU;BENGKULU;;-3.5186800;-3.9080000;;102.5359800;91.6260000
15;15;JAMBI;JAMBI;;-1.6115700;-2.0650000;;102.7797000;91.7140000
13;13;SUMATERA BARAT;SUMBAR;;-1.3422500;0.6150000;;100.0761000;91.6260000
14;14;RIAU;RIAU;;0.5004100;4.4780000;;101.5475800;91.4500000
91;91;PAPUA;PAPUA;;-4.3206000;-8.0590000;;137.9793000;136.4940000
62;62;KALIMANTAN TENGAH;KALTENG;;-1.4995800;9.3190000;;113.2903300;104.8100000
75;75;GORONTALO;GORONTALO;;0.7186200;9.3190000;;122.4555900;117.9930000
34;34;DAERAH ISTIMEWA YOGYAKARTA;D.I YOGYAKARTA;;-7.9195000;-14.3920000;;110.6023000;114.3020000
76;76;SULAWESI BARAT;SULBAR;;-2.4974500;6.7960000;;119.3919000;114.6970000
61;61;KALIMANTAN BARAT;KALBAR;;-0.1322400;6.9260000;;111.0968900;112.1920000
63;63;KALIMANTAN SELATAN;KALSEL;;-2.9434800;6.8390000;;115.3756500;109.1160000
12;12;SUMATERA UTARA;SUMUT;;2.1923500;6.6650000;;99.3812200;104.8100000
73;73;SULAWESI SELATAN;SULSEL;;-3.6446700;-6.7080000;;119.9471900;120.9810000
82;82;MALUKU UTARA;MALUT;;0.6301200;3.8200000;;127.9720200;130.8690000
92;92;PAPUA BARAT;PAPUA BARAT;;-1.3842400;-10.7470000;;132.9025300;136.4940000
33;33;JAWA TENGAH;JATENG;;-7.3032400;-10.1420000;;110.0044100;109.1600000
32;32;JAWA BARAT;JABAR;;-6.8891700;-13.8380000;;107.6404700;109.0280000
36;36;BANTEN;BANTEN;;-6.4453800;-17.0150000;;106.1375600;108.9840000
52;52;NUSA TENGGARA BARAT;NTB;;-8.1217900;-12.8970000;;117.6369600;121.7290000
11;11;ACEH;ACEH;;4.6951350;10.8680000;;96.7493993;92.7470000
31;31;DKI JAKARTA;DKI JAKARTA;;-6.1745000;-13.8380000;;106.8227000;109.0280000
71;71;SULAWESI UTARA;SULUT;;-1.6937800;6.7520000;;120.8088600;120.7620000
72;72;SULAWESI TENGAH;SULTENG;;0.6555700;6.7080000;;124.0901500;117.3340000
16;16;SUMATERA SELATAN;SUMSEL;;-3.1266800;-6.5770000;;104.0930600;91.6260000
65;65;KALIMANTAN UTARA;KALTARA;;2.7259400;9.3620000;;116.9110000;109.0280000
64;64;KALIMANTAN TIMUR;KALTIM;;0.7884400;9.4920000;;116.2420000;112.3240000
21;21;KEPULAUAN RIAU;KEP. RIAU;;-0.1547800;3.8640000;;104.5803700;102.3050000
51;51;BALI;BALI;;-8.2356600;-5.4410000;;115.1223900;114.4340000
74;74;SULAWESI TENGGARA;SULTRA;;-3.5491200;-5.2660000;;121.7279600;126.1230000
81;81;MALUKU;MALUKU;;-3.1188400;2.2410000;;129.4207800;136.0990000
53;53;NUSA TENGGARA TIMUR;NTT;;-8.5656800;-11.8500000;;120.6978600;126.3430000
35;35;JAWA TIMUR;JATIM;;-6.9685100;-10.8330000;;113.9800500;114.3020000
